"mouse","PDC-E2","PDH","TG","TPO","BPI","C1q","HSP 70","GBM dissociated","EJ","JO1","PL-12","PL-7","PM/Scl-75","SRP54","CENP A","Fibrillarin","POLR3H","RPP14 (Th/To)","Scl-70, full-length","Scl-70, truncated","U11/U12","CTGF","La/SSB","Ribo P0","Ribo P2","Ro60/SSA (recombinant)","Ro60/SSA (bovine)","Sm/RNP","SmD2","Smith","U1-snRNP A","U1-snRNP C","U1 B/B'"
321,58,16,28,1262,50,1077,40,51,193,99,20,168,154.5,55,260,200,593,1428.5,359,132,8141,5172.5,61.5,0,52,290,207.5,46,12,177.5,659.5,162,224
324,49.5,16,35.5,209,37.5,1129,10,55,678,456,29,44.5,168.5,309.5,268,167.5,447.5,1072,321,126.5,6429.5,317,47,0,54,293,269,88,3,116,288,105.5,251.5
326,133,0,42,59.5,63.5,1039.5,0,48.5,201,153.5,76.5,46.5,151.5,587.5,319.5,163,422.5,1062.5,384.5,1281.5,8392.5,1673.5,39.5,0,18,244.5,147.5,61,13.5,843.5,12793.5,139.5,431.5
1403,61,0,17,7,43.5,1319,0,80,355,127,59,8,138,3133,397,184.5,470,1249,389,128,8505,0,236,0,27,944,763,75,97,214,180,177.5,283
1444,36,0,0,0,20,1095,0,0,129.5,39,0,0,91,0,222,154.5,484,1147,357,63,8672,0,132,0,0,152.5,142,37,0,113,285,91.5,187
474,162,11,37,59,64,1032.5,0,156,146.5,168,10,22,208,228.5,659,179,547,1074,502,270,7560,48,163.5,0,9,607.5,316,160.5,470,356.5,427,193.5,337
477,83,14,355,81.5,4192,851.5,91,52,198,180,181.5,1493,106,118,300.5,170,486,867.5,361,165,7877,47,98.5,0,44,403.5,287,61,33.5,169.5,150,87,269.5
630,64,14,1,164,42,1473,0,24,175,449,0,1712,129,0,280,188,591,1227,381,111,9046,11,33.5,0,10,175,189,68,0,251,52,124,263
636,58,0,0,24.5,4184,1153,0,40,165,99.5,31,0,103,1833,300,274,527,1181,336,99,8648,239,66.5,0,56.5,160.5,152,35.5,34.5,124.5,150.5,125,257
637,84.5,1.5,6,225,68.5,1335.5,0,91,14696,94.5,271,79,163,48,338,187.5,549.5,1366.5,510,841.5,10191,227.5,38,0,15,155,188,101.5,40,287,299,178.5,396
1149,62,0,0,8,46,1813,0,102,104,78,0,4.5,226,139,458,217.5,613,2619,480,153,9058.5,28,153.5,0,19,2257,3022.5,151.5,102.5,383.5,319,180,304
1041,92,0,2.5,159,113,1255.5,3385.5,18.5,143,78,40.5,71431.5,132.5,14.5,252.5,185.5,503,1141,358.5,106.5,8993.5,65.5,45,0,15.5,198,181,54.5,13.5,139.5,965,144.5,433.5
1044,497.5,9.5,58.5,246.5,222,1254.5,0,44.5,158,121.5,312.5,1.5,123,1664.5,270.5,169.5,555.5,1318.5,556.5,353,8706.5,0,97,0,8.5,210.5,180,41.5,0,91.5,69.5,117.5,350.5
1549,48,9.5,26,4.5,35.5,1104,0,10,116,64,29,0,254,820,198,161,492,795,312,79,7741,0,46,0,0,182,167,51,0,144,206,123,210
1026,54,78,224,40,78,1081,102.5,76,214,204.5,650,41.5,158.5,61,324,153.5,431,1096,337.5,155,6322,51,724,0,27,393,608.5,206,41,212,171,123,402.5
1074,99,53,14,36,69,1650,0,329,142,230,168,2457,301,401,669.5,261,381,1143,543,378,7731,4,2126,35.5,34.5,2333.5,2883,223,533,506,469.5,334,503
1153,182,0,121,0,0,862.5,0,3,127,141.5,0,0,68.5,10.5,221,260.5,353,764,189,56,6355,0,389.5,0,0,91.5,92,5,383,138,96,130,128
1154,93,0,21,56.5,43.5,1091,0,20,144.5,2308,48,43,109,62,258,153,431,1037.5,299,103.5,7279,9,55,0,22,144,169,23,0,128,82,107,292
1156,75.5,42.5,14.5,346,97,1582,0,79.5,260.5,338,113.5,78,138.5,90.5,352,168.5,668.5,1280.5,400.5,209.5,8771.5,1626,158,0,6.5,221.5,322.5,134.5,28.5,684.5,86.5,222.5,901.5
1180,45.5,0,4,14.5,17,880,0,10.5,148,60,28,0,103,0,171,159,408,778.5,269,68,7441.5,0,38,0,1,115,119,31.5,0,92,28.5,45,162
1181,57.5,4,17,31,33.5,1171,0,26,139,150,31,0,110,25.5,256,163,476.5,1287,413,102,8831,8,49,0,0.5,158,136,69.5,0,122.5,35.5,87.5,234.5
1183,28.5,0,0,0,2.5,1018,0,0,103.5,38.5,0,0,89.5,0,193.5,155.5,418,750.5,300.5,50,8749.5,0,18.5,0,0,139.5,104.5,20.5,0,96.5,0,50.5,195.5
1265,42,0,0,0,33.5,1320,0,49,158.5,71,0,0,143.5,27,383,199,583,1627,381,114,9133,12,84,0,16.5,971,664,58,45,205.5,59,126,261
1282,65.5,0,0,12.5,33.5,1418.5,0,86.5,134.5,93.5,0,32.5,186,68.5,492.5,185.5,537.5,1370.5,425.5,138.5,8866.5,0,443,0,2.5,1132.5,735.5,98.5,77.5,270.5,79.5,152.5,256.5
1296,103,0,1095,189,63,1535,0,186,339,1123,229,9436,490,315.5,547.5,635,552,1457,473.5,406,8998,214,166.5,0,56.5,876,330.5,110,201,427,900,401,588
1298,52,0.5,445.5,241,54.5,1178.5,0,171.5,227.5,189.5,0,0,157,35.5,227,166.5,451.5,1217.5,282.5,139.5,7725.5,3.5,183.5,0,13,495.5,560.5,145.5,8.5,221.5,23982.5,100.5,561.5
1302,90.5,10,117.5,25.5,89,1258.5,1551.5,307.5,389.5,112,146.5,168.5,217.5,732.5,484,220.5,487.5,1083,538.5,675.5,7607.5,83.5,55.5,0,22.5,191.5,335.5,76.5,262.5,183.5,121.5,208.5,430.5
1304,120,5.5,364,956,276.5,1448.5,1,1213,13024,393.5,73.5,34.5,141,660,342,293,548,1470,295,140,8417,173,66,0,16.5,228.5,263,49.5,125.5,142,305,123,299
1330,102.5,0,0,2957.5,20,1253.5,0,59.5,146,311.5,0,0,99.5,44.5,269,185.5,620.5,1346,514.5,1187.5,9471,34.5,22.5,0,0,297,171.5,16.5,0,133.5,163.5,102.5,281.5
1331,243,3.5,17.5,56.5,58.5,1272,0,135.5,122.5,192.5,380.5,61.5,209.5,155.5,434.5,188.5,502.5,1280.5,622.5,229.5,8203,52.5,43.5,0,9.5,134.5,169,50.5,95.5,133.5,1236,213.5,397.5
1334,47,4.5,4.5,8.5,51,1259,0,9,151,65,11,0,109,11,226,415.5,514,1274,352,63,9489,0,38,0,23.5,234.5,155,45,0,93.5,47.5,86,205
1335,71.5,0,34.5,19.5,39,1151,0,10.5,121.5,61,0,0,177,20,222,188.5,524.5,1099.5,328,84,8481,0,50,0,5,323,229,50.5,0,134.5,39.5,85,268
1336,24.5,0,13,26,51,1239,0,5,146,62,0,398,84,2,201,190,633,1162,315,72.5,8406,31.5,41,0,0,210,194.5,28,0,168,181,92,380.5
1337,49.5,7,55.5,32,110,1262,409,154,158,1058,29,26,133,161,281,196,615,1393,399,132,8682,799,112,0,9,264.5,209,80,42,180,115,121.5,255
1339,75,0,20,59,52,1472.5,0,95.5,473.5,88,18.5,22,183,73,335,185,589,1367,396,169,8134,151,43,0,32,176,217,90.5,22,341,2436,142.5,340
1340,49,0,34,16,50,1317,0,80.5,217.5,74,42.5,0,103,114,234.5,183,438,1134.5,391.5,1687.5,7759.5,1394,55,0,12,245,212,49,9.5,162.5,45,110,232
1341,35,0,10,459,33.5,824,0,110,132.5,145,0,0,96,385,232.5,136,352,1010.5,546,4034,6516,14,38.5,0,3,222,197.5,59.5,33,241,1121,67.5,264
1343,97,8.5,248.5,780.5,64.5,904.5,0,165,102.5,109.5,118.5,173.5,101,583.5,277,146.5,339,682.5,229.5,130.5,5361,220.5,43,0,3.5,289.5,185,100.5,39.5,370,76.5,68.5,222.5
1400,70.5,0,0,28.5,107.5,1407.5,0,169.5,130.5,122.5,1136.5,6370.5,269.5,150.5,383.5,295.5,470.5,1448.5,293.5,122.5,8145,845.5,591.5,0,0,1018,1096.5,124.5,170.5,334.5,115.5,244.5,352
