"mouse","C1q","CTGF","Fibrillarin","GBM dissociated","La/SSB","PDC-E2","PDH","PL-12","PL-7","PM/Scl-75","POLR3H","Ribo P0","Ro60/SSA (recombinant)","Ro60/SSA (bovine)","RPP14 (Th/To)","Scl-70, full-length","Scl-70, truncated","Sm/RNP","SmD2","Smith","SRP54","TG","TPO","U1-snRNP A","U1-snRNP C","U11/U12","CENP A","EJ","JO1","HSP 70","Ribo P2","U1 B/B'","BPI"
"321",3242.5,0,74.5,449.5,245.5,1843.5,0,32,214,272,534,0,681,1507.5,177,486,559,78,531,383,358,8.5,20,194,332,556,1056,128,310,0,4,643,16
"324",542,0,49,0,37,2117,0,0,0,40,505.5,0,115,155,153,64,52,24,0,45,0,4,27,0,4,230.5,71,102.5,59,0,0,99,9
"326",512.5,0,26,0,17,2233,0,0,0,25,475,0,53,26,139,53.5,52.5,36,0,38,0,0,3,10,0,231.5,63,89,38.5,0,2,115,0
"1403",1095,0,66,107,287.5,1143,0,0,0,97.5,514.5,0,732,1899,288,144,141,78.5,120,163.5,60,8,16,80.5,71.5,388,312,105.5,98,0,19.5,186.5,29.5
"1444",509,0,23,0,190,3760.5,0,0,0,20.5,501,0,51,24.5,231.5,63.5,44.5,33,0,44,0,5.5,0,3,0,278,48.5,106.5,33,0,0,117,14
"474",476.5,0,39.5,0,263.5,2693.5,0,0,0,27.5,467.5,0,167.5,179.5,160,48.5,60.5,272.5,0,267.5,0,9,4.5,7.5,7.5,251,79.5,90.5,40.5,0,0,122,1.5
"477",465,0,18,0.5,35,2439,0,0,0,43,494,0,83.5,209,174,63,46,22,0,41,0,0,0,0,0,247,70,109,48.5,0,0,104,0
"630",451.5,0,20.5,0,8,3437.5,0,22,0,7.5,474.5,0,1.5,7.5,59.5,59.5,23.5,19,0,24.5,0,2,2,0,0,239.5,28.5,86.5,53.5,0,0,83.5,0.5
"636",429,0,16,2,15,2171,0,0,0,27,481,0,16,3.5,67,66,48,14,0,31,0,9.5,0,0,0,195.5,38,108,35,0,0,82,1
"637",448,0,24,0,29,2248,0,0,0,20.5,483,0,6,0,66,49,43,27,0,28,0,0,18,0,0,255,33,93,47,0,11,105,7.5
"1149",1580.5,8.5,52,118,201,499,0,0,16,107.5,398,0,1168,2501.5,1150.5,113.5,143.5,207,59,309,45,2,5,352,53,338,308,72,101,0,17,200,0
"1041",440,0,44,8,43,1963,0,0,13.5,27,465,0,53.5,24,129,56,41,21,0,44,0,0,10.5,0,0,237.5,40,96,51,0,0.5,86,3
"1044",446.5,0,27,0,14,2504.5,0,39,0,23.5,499,0,35,17,118,42,23,4.5,0,9,0,0,1,0,0,200,24,82,38.5,0,0,66,0
"1549",451,0,28.5,0,25,2212.5,0,0,0,18.5,472.5,0,98,15.5,112.5,86.5,46.5,38,0,41,0,13,26.5,17.5,4.5,215.5,43,104,47.5,0,21,85.5,10.5
"1026",452,0,20,0,1137.5,2090,0,0,0,39.5,495,0,88,355.5,158,72,40,13,0,37,0,0,11.5,0,0,212,72.5,93.5,33,0,0,89,0
"1074",1547.5,0,57.5,164.5,2071.5,1801,1.5,7.5,131,214,547.5,0,1093,4081.5,270.5,226.5,218.5,139,136.5,298,88.5,0,28.5,110.5,108.5,409,390.5,123,163.5,0,0,258.5,1.5
"1153",417.5,0,39,0,27,1600.5,0,0,0,19,459,0,13,0,86,50,31,21.5,0,16,0,0,6,0,0,203,33.5,84,45,0,3,72,0
"1154",397,0,26,0,5,1646,0,0,0,12,445.5,0,15.5,0,98.5,26,28,9,0,13,0,0,0,0,0,199,26,64.5,43.5,0,0,92.5,0
"1156",469.5,0,30,0,26.5,3008.5,0,0,0,16,519.5,0,46,15,161,58,37,17,0,15.5,0,0,0,0,0,231,41,74.5,61,0,0,114.5,0
"1180",411.5,0,43.5,0,18.5,2238,0,0,0,14,470,0,26.5,0,45.5,34.5,43.5,15,0,22,0,1.5,3.5,0,0,201,26.5,78.5,23.5,0,0,65.5,0
"1181",417.5,0,36.5,13.5,19,1825.5,0,6.5,0,33,445.5,0,30.5,28.5,87.5,60.5,50.5,21.5,0,40.5,0,22,30.5,16.5,5,241.5,43.5,117.5,65.5,0,9.5,95.5,13.5
"1183",408.5,0,34.5,0,26.5,1802.5,0,0,0,17.5,464,0,17.5,0,58.5,36,37.5,19,0,32,0,0,15.5,0,0,205,39.5,99.5,39.5,0,0,73.5,8.5
"1265",684,38,49,70.5,79.5,2097,0,0,0,67,567.5,0,390.5,1316,499,118,75,62,38.5,116.5,21.5,0,12.5,41,39,373.5,183,110,75,0,0,146,19
"1282",967,0,48,122.5,491,2036,0,0,0,97,552.5,0,837,1648.5,352,186.5,126,107.5,72,184,28,0,8,52,61,390,479,114,112,0,0,182,12
