"mouse","C1q","CTGF","Fibrillarin","GBM dissociated","La/SSB","PDC-E2","PDH","PL-12","PL-7","PM/Scl-75","POLR3H","Ribo P0","Ro60/SSA (recombinant)","Ro60/SSA (bovine)","RPP14 (Th/To)","Scl-70, full-length","Scl-70, truncated","Sm/RNP","SmD2","Smith","SRP54","TG","TPO","U1-snRNP A","U1-snRNP C","U11/U12","CENP A","EJ","JO1","HSP 70","Ribo P2","U1 B/B'","BPI"
321,211,3477,106,24,40,47,5,18,5,44,18,0,89.5,28,380,97,52,47.5,0,73.5,15,5,335.5,437,13,342,54,46,60.5,2.5,9,83,22.5
324,172,0,94,7,21,43,0,0,0,33,16,0,50,52,182,123.5,40.5,33,0,28,0,1.5,250,55.5,0,146.5,43.5,313,220,0,14.5,58,19
326,140,14.5,76.5,18.5,11.5,30.5,0,24.5,0,49.5,3.5,0,65.5,13.5,192.5,92.5,121.5,41.5,0,694,0,0,15.5,4927.5,0,157.5,48.5,74.5,73.5,0,0,51,8
1403,290,0,69,17,21,29,0,7,0,34,0,0,52,18,118,77,27.5,31,0,35,243,0,9,0,0,126,46.5,46,42,0,0,62,7
1444,232,0,131.5,0,37.5,47.5,0,0,0,89.5,11.5,0,75.5,34.5,309,150.5,33,43.5,0,24.5,0,0,15.5,0,1.5,178.5,42.5,33.5,57,0,3,82.5,11.5
474,287,5,154,33.5,36,41,2.5,0,0,102,75,0,177.5,52,519,195.5,77.5,39,26.5,38,4.5,3,19,9.5,18,632,293,51,93,0,14,115,6.5
477,246.5,0,107.5,6,13,21.5,0,0,2273.5,54.5,14,0,54.5,19.5,522,214,134.5,28.5,0,23.5,0,42,0,14,0,2986.5,60,103,69,0,0,79.5,5448.5
630,241,0,146.5,0,10,23,0,0,9,72,0,0,110,16.5,418,169.5,28,6,0,6.5,0,0,0,0,0,278,29,20.5,32,0,0,74,0
636,231.5,0,133.5,0,10.5,15.5,0,0,0,42.5,0,0,92.5,7.5,417.5,133.5,18.5,0,0,0,0,0,0,0,0,210.5,12.5,15.5,42.5,0,0,81,0
637,306,0,136,35,19,15,0,0,0,94,0,0,97,20,484,273,98,0,0,8,0,0,35,8,36,300.5,104.5,14247,34,0,0,127,0
1149,223,0,135,20,25,26.5,0,0,0,79,0,0,85,30,254,142,28,21,0,30,0,14,3,4,7.5,218.5,36.5,50,49,0,9,107.5,5.5
1041,235.5,27,141,1,15,27.5,0,0,133,79,20,0,108,25,490,141,57,22,0,57,1,0,18,0,2,242,45,40.5,56.5,1699.5,2,78,7
1044,336.5,0,161.5,24,69,78,7,0,0,76.5,6,0,109,44.5,461,442.5,340,36.5,0,29.5,696,31.5,36,25.5,20,311,63,33,56,0,0,119,26
1549,223,0,133.5,0.5,29,34.5,0,0,0,67.5,13,0,108,39.5,387.5,186.5,42,31,0,43.5,0,0,23,0,13.5,203.5,49.5,26.5,52.5,0,13.5,81.5,16.5
1522,202,0,1764,6,41,28,0,9,0,62,10.5,0,52,31.5,288.5,146,559,36,0,41.5,0,0,11,0,0,184,43,29,42.5,0,0,106.5,4
1026,289,8.5,122.5,45.5,31,41,0,10,21,105,32.5,0,103,143,421,197,81.5,70,0,66.5,0,278,41.5,55,32,308,96,54,199,36,18,113,26
1074,236.5,0,166,20,28,47,0,0,236,77.5,13,0,94,38,403,130,32.5,28,0,42,0,0,5.5,47,0,210,58,28,38,0,11,104.5,1.5
1153,233,0,202,0,33.5,13,0,0,0,56,0,0,70,3,329,90.5,0,0,280,33,0,0,0,30.5,0,240.5,57,45,96,0,0,66,0
1154,205,0,128,0,31,28,0,0,0,71,2,0,90,20,419,145.5,48,20,0,19,0,0,9,0,0,209,45,30.5,119,0,2,104,8
1156,522,1125.5,131.5,37,51.5,34.5,0,81.5,0,90,38.5,0,117.5,48,565.5,158.5,62,43,0,221.5,8.5,0,461.5,23.5,50,292,87.5,175,150,0,14,348,17.5
1180,188.5,0,143,0,23,30.5,0,0,0,53.5,0,0,77,21,357.5,172,30,9,0,8,0,0,0,0,0,176,30,24,29.5,0,0,50,4
1181,238.5,0,93,0,26,29,0,0,0,74,14,0,90,22.5,595,154,48.5,24,0,35,0,0,0,0,0,235,35,29,53,0,13,75.5,0
1183,208.5,0,139.5,0,18,38,0,0,0,68,3,0,98,15,319,168.5,25,8,0,9,0,0,14.5,1,0,167,47,46,49,0,2,70,5
1265,222.5,0,126,0,14,27,0,0,0,63.5,10,0,93,33,386,230,33,23,0,15,0,0,0,0,0,211.5,24,32,41,0,5,79,3.5
1282,239,0,135.5,0,30,20,0,0,0,73,0,0,104,38,345,161.5,13,7,0,21,0,0,0,0,0,206,26,23,35,0,0,79,15
1296,536,108,649,88,114,46,0,88,7561,130,52.5,0,139,75,641,225.5,138,93,33,324.5,42,1438,217,78.5,81.5,440.5,226.5,192,462,0,16.5,189,18
1298,341,0,129.5,0,8,32,0,0,0,54.5,0,0,92,37,612.5,162.5,60.5,12.5,0,21,0,38,32,24666,12,437,59.5,61.5,78.5,0,0,207,0
