mouse,Gender,age.round,tx2
1074,F,20,564homo
1149,F,12.5,564homo
1265,M,15,564homo
1282,M,12.5,564homo
1329,M,12.5,564homo
1400,F,15,564homo
1403,F,15,564homo
1448,F,40,564homo
1487,M,12.5,564homo
1488,M,12.5,564homo
1490,M,10,564homo
1436,F,17.5,564homo.Icos
1438,F,32.5,564homo.Icos
1440,M,32.5,564homo.Icos
1442,F,17.5,564homo.Icos
1444,M,32.5,564homo.Icos
1026,F,20,BMchim.564
1296,M,22.5,BMchim.564
1298,M,22.5,BMchim.564
1302,M,22.5,BMchim.564
1304,M,20,BMchim.564
1479,F,20,BMchim.564
1482,M,20,BMchim.564
1494,M,27.5,BMchim.564
1495,M,27.5,BMchim.564
1496,M,27.5,BMchim.564
1497,F,27.5,BMchim.564
1498,F,27.5,BMchim.564
1499,F,27.5,BMchim.564
1500,F,27.5,BMchim.564
1153,F,22.5,BMchim.564-Icos.RAG-TCRA
1180,M,27.5,BMchim.564-Icos.RAG-TCRA
1330,M,22.5,BMchim.564-Icos.RAG-TCRA
1335,F,22.5,BMchim.564-Icos.RAG-TCRA
1337,M,20,BMchim.564-Icos.RAG-TCRA
1340,F,20,BMchim.564-Icos.RAG-TCRA
1343,F,20,BMchim.564-Icos.RAG-TCRA
1464,M,17.5,BMchim.564-Icos.RAG-TCRA
1465,M,17.5,BMchim.564-Icos.RAG-TCRA
1469,F,25,BMchim.564-Icos.RAG-TCRA
1471,F,25,BMchim.564-Icos.RAG-TCRA
1528,M,17.5,BMchim.564-Icos.RAG-TCRA
1530,F,27.5,BMchim.564-Icos.RAG-TCRA
1531,F,17.5,BMchim.564-Icos.RAG-TCRA
1532,F,32.5,BMchim.564-Icos.RAG-TCRA
1533,F,17.5,BMchim.564-Icos.RAG-TCRA
1534,F,20,BMchim.564-Icos.RAG-TCRA
1537,F,20,BMchim.564-Icos.RAG-TCRA
1538,M,20,BMchim.564-Icos.RAG-TCRA
1540,M,20,BMchim.564-Icos.RAG-TCRA
1543,M,20,BMchim.564-Icos.RAG-TCRA
1545,M,20,BMchim.564-Icos.RAG-TCRA
1547,F,20,BMchim.564-Icos.RAG-TCRA
1548,F,20,BMchim.564-Icos.RAG-TCRA
1467,M,17.5,BMchim.564-Icos.RAG-TCRB
1468,F,25,BMchim.564-Icos.RAG-TCRB
1472,M,22.5,BMchim.564-Icos.RAG-TCRB
1525,M,45,BMchim.564-Icos.RAG-TCRB
1539,M,20,BMchim.564-Icos.RAG-TCRB
1542,M,20,BMchim.564-Icos.RAG-TCRB
1544,M,20,BMchim.564-Icos.RAG-TCRB
1154,F,22.5,BMchim.564-Icos.RAG-TCRE
1183,M,27.5,BMchim.564-Icos.RAG-TCRE
1331,M,22.5,BMchim.564-Icos.RAG-TCRE
1334,F,22.5,BMchim.564-Icos.RAG-TCRE
1336,M,20,BMchim.564-Icos.RAG-TCRE
1339,F,20,BMchim.564-Icos.RAG-TCRE
1341,F,20,BMchim.564-Icos.RAG-TCRE
1463,M,17.5,BMchim.564-Icos.RAG-TCRE
1466,M,17.5,BMchim.564-Icos.RAG-TCRE
1470,F,25,BMchim.564-Icos.RAG-TCRE
1473,M,22.5,BMchim.564-Icos.RAG-TCRE
1526,M,27.5,BMchim.564-Icos.RAG-TCRE
1527,M,17.5,BMchim.564-Icos.RAG-TCRE
1529,F,32.5,BMchim.564-Icos.RAG-TCRE
1535,F,20,BMchim.564-Icos.RAG-TCRE
1541,M,20,BMchim.564-Icos.RAG-TCRE
1546,F,20,BMchim.564-Icos.RAG-TCRE
1549,F,20,BMchim.564-Icos.RAG-TCRE
321,M,20,BMchim.564
324,M,20,BMchim.564
326,F,20,BMchim.564
474,F,15,BMchim.564
477,M,15,BMchim.564
630,M,20,BMchim.564
636,F,20,BMchim.564
637,F,20,BMchim.564
1041,F,20,BMchim.564
1044,M,20,BMchim.564
1156,F,22.5,BMchim.564
1181,M,27.5,BMchim.564
